driver_id,avg_speed_kph,max_speed_kph,speed_std,speed_safety_score,harsh_braking_events,harsh_acceleration_events,braking_safety_score,acceleration_safety_score,consistency_score,overall_safety_score,avg_acceleration,max_acceleration,min_acceleration,total_distance_km,total_trips,avg_trip_duration,speeding_events,night_driving_ratio,weekend_driving_ratio,phone_usage_events,harsh_cornering_events,driver_profile,discount_eligible,discount_tier,estimated_premium,annual_savings
D0000,54.8892805411779,83.64331007599344,7.886961256553763,100.0,0,0,100,100,84.22607748689248,96.05651937172311,-0.0004145336560143153,1.1935345755907625,-0.9829206072488628,355.133645101421,15,258.8,6,0.139499284369847,0.4153794274913218,1,0,excellent,True,3,770.0,330.0
D0001,55.03649185296951,86.46904663590666,7.942753696459234,100.0,0,0,100,100,84.11449260708153,96.02862315177038,-0.00027183279588782777,1.130693778643515,-0.9941234119264326,394.0612816672617,15,286.4,3,0.1957907043865663,0.3598841819784041,1,1,excellent,True,3,770.0,330.0
D0002,55.04124381047077,85.80320029586794,7.9380069197497605,100.0,0,0,100,100,84.12398616050048,96.03099654012512,-0.00040757190598338707,1.2800271907499927,-1.101333898391998,332.9995250533481,15,242.0,6,0.41192594990691145,0.20496432244801366,0,0,excellent,True,3,770.0,330.0
D0003,75.01435735255356,128.09369544231228,15.091218564777156,69.97128529489288,0,0,100,100,69.81756287044568,84.94721204133464,0.0005606735894543523,1.987663608553903,-2.048231207895021,441.0844212330149,15,235.2,1309,0.36197711511185515,0.21100773619985064,1,1,average,False,0,1100.0,0.0
D0004,65.1494457301182,107.08769289755152,11.852140396354187,89.7011085397636,0,0,100,100,76.29571920729163,91.49920693676381,-0.0008354258397032458,1.4604513139359168,-1.6546915411777283,408.4870247278412,15,250.8,387,0.4218256641044071,0.3294427837530615,1,0,good,True,3,770.0,330.0
D0005,64.89350354159372,111.81286847371604,12.11507791110787,90.21299291681257,0,0,100,100,75.76984417778426,91.49570927364921,-0.000176023119432895,1.7891174493074082,-2.100000704786427,417.91416280786353,15,257.6,409,0.06511825753691801,0.24477711841791253,0,2,good,True,3,770.0,330.0
D0006,64.88482262437326,102.22353908901162,11.842439223325625,90.23035475125349,0,0,100,100,76.31512155334875,91.63636907615054,0.00023456522019432892,1.5322866360598844,-1.7296211740412857,388.01123929375206,15,239.2,378,0.3295207380242895,0.3394681101060642,0,3,good,True,3,770.0,330.0
D0007,85.29740403779728,160.0,20.397456395644856,49.40519192440544,1,1,97,97,59.20508720871029,75.65256978327893,-0.001153142840120215,2.8906148910721505,-2.89385768376308,683.2322063427562,15,320.4,2891,0.2750213159605017,0.11609400727126223,0,1,poor,False,0,1100.0,0.0
D0008,74.78583785748413,132.03213451933274,15.244341150553309,70.42832428503175,0,0,100,100,69.51131769889338,84.98491049598128,0.0009428880414657541,2.1398239120004874,-2.683587365652192,525.7444401381134,15,281.2,1520,0.16920570610417887,0.6756523924485697,1,0,average,True,1,990.0,110.0
D0009,64.81742936868247,114.98691190182974,11.869594994527363,90.36514126263506,0,0,100,100,76.26081001094528,91.65648781839508,9.423101352065926e-05,1.8347822873204929,-1.6425510319881098,435.5731253575462,15,268.8,405,0.10947292459379628,0.36972246996824454,0,2,good,True,3,770.0,330.0
