Model,Test_Accuracy,Train_Accuracy,CV_Mean,CV_Std,Precision,Recall,F1_Score,AUC_Score,Overfitting,Training_Time,Prediction_Time
Gradient Boosting,0.9838709677419355,0.9986541049798116,0.9771177217485942,0.013825148282857087,0.9865771812080537,0.9865771812080537,0.9865771812080537,0.9929157345264727,0.014783137237876054,0.24561452865600586,0.008264780044555664
Random Forest,0.9717741935483871,0.9878869448183042,0.9730818066388535,0.011230687491699639,0.9733333333333334,0.9798657718120806,0.9765886287625418,0.997423903464172,0.01611275126991707,0.10375452041625977,0.003999471664428711
XGBoost Aggressive,0.9717741935483871,1.0,0.9757754398693995,0.010903919766790187,0.9671052631578947,0.9865771812080537,0.9767441860465116,0.9974239034641718,0.028225806451612878,0.04951047897338867,0.004001617431640625
AdaBoost,0.9717741935483871,0.9865410497981157,0.9717304552875022,0.007852277551753026,0.9671052631578947,0.9865771812080537,0.9767441860465116,0.9971866314148193,0.014766856249728622,0.06941008567810059,0.006110429763793945
Decision Tree,0.9637096774193549,0.9878869448183042,0.971739524759659,0.013681815040243264,0.9545454545454546,0.9865771812080537,0.9702970297029703,0.9672225611822927,0.02417726739894932,0.0060999393463134766,0.0
Neural Network Deep,0.9475806451612904,1.0,0.9165608561581717,0.010854305477212825,0.9594594594594594,0.9530201342281879,0.9562289562289562,0.9739000745712156,0.05241935483870963,0.911175012588501,0.000965118408203125
Naive Bayes,0.9475806451612904,0.9286675639300135,0.9232813350263015,0.016321431769485202,0.9927536231884058,0.9194630872483222,0.9547038327526133,0.9774252593044539,-0.018913081231276885,0.0010063648223876953,0.0
SVM RBF,0.9435483870967742,0.9367429340511441,0.9300199528387447,0.014500818238990071,0.9927007299270073,0.912751677852349,0.951048951048951,0.9791200596569726,-0.006805453045630183,0.030993938446044922,0.011098623275756836
Extra Trees,0.9435483870967742,0.9407806191117093,0.924659894794123,0.016586266946534825,0.9927007299270073,0.912751677852349,0.951048951048951,0.9899667819130906,-0.0027677679850649506,0.031331539154052734,0.003999471664428711
XGBoost Conservative,0.9354838709677419,0.9542395693135935,0.9515599492109559,0.01767692007967931,0.9130434782608695,0.9865771812080537,0.9483870967741935,0.9949155989424445,0.018755698345851668,0.014008283615112305,0.003999948501586914
Neural Network Small,0.9354838709677419,0.9771197846567967,0.923263196081988,0.012606448850892347,0.9586206896551724,0.9328859060402684,0.9455782312925171,0.975052538810928,0.04163591368905484,0.4951815605163574,0.0
SVM Linear,0.9314516129032258,0.9286675639300135,0.9219299836749502,0.017951360909990235,0.9714285714285714,0.912751677852349,0.9411764705882353,0.9773574672903532,-0.002784048973212272,0.03330278396606445,0.0010080337524414062
Logistic Regression,0.9274193548387096,0.9259757738896366,0.9165517866860148,0.018398210594446955,0.958041958041958,0.9194630872483222,0.9383561643835616,0.9770185072198495,-0.0014435809490730422,0.015123605728149414,0.0010013580322265625
